,responseId,session,queryResult.queryText,queryResult.parameters.number,queryResult.parameters.date-time,queryResult.allRequiredParamsPresent,queryResult.fulfillmentText,queryResult.fulfillmentMessages,queryResult.outputContexts,queryResult.intent.name,queryResult.intent.displayName,queryResult.intentDetectionConfidence,queryResult.languageCode
0,f2021838-d3fc-4363-94ae-56d93c1c9f61-eff3b2e4,projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67,now,3.0,[{'date_time': '2021-05-01T22:58:04+02:00'}],True,"Let me see, you will arrive at now and your stay is 3 nights. Can I now book your reservation?","[{'text': {'text': ['Let me see, you will arrive at now and your stay is 3 nights. Can I now book your reservation?']}}]","[{'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-followup', 'lifespanCount': 2, 'parameters': {'number': 3.0, 'number.original': '3', 'date-time': [{'date_time': '2021-05-01T22:58:04+02:00'}], 'date-time.original': ['now']}}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/__system_counters__', 'parameters': {'no-input': 0.0, 'no-match': 0.0, 'number': 3.0, 'number.original': '3', 'date-time': [{'date_time': '2021-05-01T22:58:04+02:00'}], 'date-time.original': ['now']}}]",projects/hotelbot-ofdd/agent/intents/33abfc55-f1cb-4d81-9b2f-c238fbc0c437,ReservationBook,1.0,en
,responseId,session,queryResult.queryText,queryResult.action,queryResult.allRequiredParamsPresent,queryResult.fulfillmentText,queryResult.fulfillmentMessages,queryResult.outputContexts,queryResult.intent.name,queryResult.intent.displayName,queryResult.intentDetectionConfidence,queryResult.languageCode
0,cc2e4142-5194-437b-9053-156bc1e2eac5-eff3b2e4,projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67,yes,ReservationBook.ReservationBook-yes,True,"Okay, reservation confirmed. For whom can I confirm the reservation?","[{'text': {'text': ['Okay, reservation confirmed. For whom can I confirm the reservation?']}}]","[{'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-yes-followup', 'lifespanCount': 2}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-followup', 'lifespanCount': 1, 'parameters': {'number': 3.0, 'number.original': '3', 'date-time': [{'date_time': '2021-05-01T22:58:04+02:00'}], 'date-time.original': ['now']}}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/__system_counters__', 'parameters': {'no-input': 0.0, 'no-match': 0.0}}]",projects/hotelbot-ofdd/agent/intents/d38778e0-a348-4922-9aa3-9333d5596544,ReservationBook - yes,1.0,en
,responseId,session,queryResult.queryText,queryResult.action,queryResult.parameters.person.name,queryResult.allRequiredParamsPresent,queryResult.fulfillmentText,queryResult.fulfillmentMessages,queryResult.outputContexts,queryResult.intent.name,queryResult.intent.displayName,queryResult.intentDetectionConfidence,queryResult.languageCode
0,e2fe7164-0c0f-462c-9834-05057844d039-eff3b2e4,projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67,Kevin,ReservationBook.ReservationBook-yes.ReservationBook-yes-custom,Kevin,True,Thank you. The booking is for Kevin. Your reservation ID is,[{'text': {'text': ['Thank you. The booking is for Kevin. Your reservation ID is']}}],"[{'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-yes-followup', 'lifespanCount': 1, 'parameters': {'person': {'name': 'Kevin'}, 'person.original': 'Kevin'}}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-followup', 'parameters': {'number': 3.0, 'number.original': '3', 'date-time': [{'date_time': '2021-05-01T22:58:04+02:00'}], 'date-time.original': ['now'], 'person': {'name': 'Kevin'}, 'person.original': 'Kevin'}}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/__system_counters__', 'parameters': {'no-input': 0.0, 'no-match': 0.0, 'person': {'name': 'Kevin'}, 'person.original': 'Kevin'}}]",projects/hotelbot-ofdd/agent/intents/f144849a-ba46-48f9-87da-fe49f8e5b88c,ReservationBook - yes - custom,0.93474656,en
,responseId,session,queryResult.queryText,queryResult.parameters.number,queryResult.parameters.date-time,queryResult.allRequiredParamsPresent,queryResult.fulfillmentText,queryResult.fulfillmentMessages,queryResult.outputContexts,queryResult.intent.name,queryResult.intent.displayName,queryResult.intentDetectionConfidence,queryResult.languageCode
0,56ddd5d0-3933-4389-8179-0c612f2d3993-eff3b2e4,projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67,Friday,7.0,['2021-05-07T12:00:00+02:00'],True,"Let me see, you will arrive at Friday and your stay is 7 nights. Can I now book your reservation?","[{'text': {'text': ['Let me see, you will arrive at Friday and your stay is 7 nights. Can I now book your reservation?']}}]","[{'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-followup', 'lifespanCount': 2, 'parameters': {'number': 7.0, 'number.original': '7', 'date-time': ['2021-05-07T12:00:00+02:00'], 'date-time.original': ['Friday']}}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/__system_counters__', 'parameters': {'no-input': 0.0, 'no-match': 0.0, 'number': 7.0, 'number.original': '7', 'date-time': ['2021-05-07T12:00:00+02:00'], 'date-time.original': ['Friday']}}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-yes-followup', 'parameters': {'person': {'name': 'Kevin'}, 'person.original': 'Kevin', 'number': 7.0, 'number.original': '7', 'date-time': ['2021-05-07T12:00:00+02:00'], 'date-time.original': ['Friday']}}]",projects/hotelbot-ofdd/agent/intents/33abfc55-f1cb-4d81-9b2f-c238fbc0c437,ReservationBook,1.0,en
,responseId,session,queryResult.queryText,queryResult.action,queryResult.allRequiredParamsPresent,queryResult.fulfillmentText,queryResult.fulfillmentMessages,queryResult.outputContexts,queryResult.intent.name,queryResult.intent.displayName,queryResult.intentDetectionConfidence,queryResult.languageCode
0,a190f87a-2eb7-4472-939c-fe022e27f469-eff3b2e4,projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67,yes,ReservationBook.ReservationBook-yes,True,"Okay, reservation confirmed. For whom can I confirm the reservation?","[{'text': {'text': ['Okay, reservation confirmed. For whom can I confirm the reservation?']}}]","[{'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-yes-followup', 'lifespanCount': 2}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/reservationbook-followup', 'lifespanCount': 1, 'parameters': {'number': 7.0, 'number.original': '7', 'date-time': ['2021-05-07T12:00:00+02:00'], 'date-time.original': ['Friday']}}, {'name': 'projects/hotelbot-ofdd/agent/sessions/webdemo-b9701b9a-82ee-b240-790c-4f97f709ab67/contexts/__system_counters__', 'parameters': {'no-input': 0.0, 'no-match': 0.0}}]",projects/hotelbot-ofdd/agent/intents/d38778e0-a348-4922-9aa3-9333d5596544,ReservationBook - yes,1.0,en
